iter	Passed	Remaining
0	3	3664
1	6	3453
2	10	3384
3	13	3352
4	16	3316
5	20	3337
6	23	3352
7	27	3351
8	30	3351
9	33	3357
10	37	3380
11	41	3388
12	44	3388
13	48	3399
14	51	3397
15	55	3403
16	58	3403
17	62	3408
18	66	3416
19	69	3418
20	73	3416
21	76	3421
22	80	3425
23	84	3417
24	87	3418
25	91	3420
26	94	3422
27	98	3423
28	102	3427
29	106	3430
30	109	3428
31	113	3429
32	117	3428
33	120	3428
34	124	3426
35	127	3427
36	131	3424
37	135	3426
38	139	3425
39	142	3428
40	146	3428
41	150	3426
42	154	3432
43	158	3435
44	161	3433
45	165	3433
46	169	3431
47	172	3425
48	176	3421
49	180	3420
50	183	3418
51	187	3415
52	191	3414
53	194	3411
54	198	3407
55	202	3407
56	206	3409
57	211	3442
58	215	3443
59	219	3443
60	223	3441
61	227	3444
62	231	3443
63	235	3442
64	239	3442
65	243	3442
66	247	3442
67	250	3438
68	254	3438
69	258	3439
70	263	3450
71	267	3449
72	271	3449
73	275	3448
74	279	3449
75	283	3451
76	287	3451
77	292	3452
78	296	3453
79	300	3452
80	304	3452
81	308	3453
82	312	3455
83	316	3455
84	321	3458
85	325	3460
86	329	3459
87	333	3461
88	338	3461
89	342	3462
90	346	3462
91	351	3464
92	355	3466
93	359	3467
94	364	3470
95	370	3489
96	375	3491
97	379	3491
98	383	3492
99	388	3493
100	392	3494
101	396	3492
102	401	3492
103	405	3492
104	409	3493
105	414	3493
106	418	3492
107	422	3491
108	427	3492
109	431	3492
110	436	3492
111	440	3492
112	445	3494
113	449	3495
114	454	3494
115	458	3494
116	462	3494
117	467	3494
118	472	3494
119	476	3494
120	480	3493
121	485	3492
122	489	3493
123	494	3493
124	499	3493
125	502	3487
126	507	3489
127	512	3488
128	516	3488
129	521	3488
130	525	3487
131	530	3486
132	534	3485
133	539	3483
134	543	3482
135	548	3481
136	552	3480
137	556	3479
138	561	3477
139	565	3476
140	570	3475
141	574	3473
142	579	3470
143	583	3467
144	587	3465
145	592	3463
146	596	3463
147	601	3461
148	605	3458
149	610	3456
150	614	3454
151	619	3454
152	623	3452
153	628	3451
154	634	3459
155	639	3458
156	644	3458
157	650	3466
158	655	3469
159	661	3470
160	666	3472
161	671	3473
162	676	3473
163	681	3474
164	686	3475
165	691	3476
166	697	3478
167	702	3480
168	707	3481
169	712	3480
170	717	3479
171	722	3476
172	726	3474
173	731	3473
174	737	3475
175	744	3483
176	750	3490
177	755	3490
178	761	3492
179	767	3495
180	772	3496
181	777	3495
182	782	3495
183	787	3492
184	792	3490
185	797	3488
186	801	3486
187	806	3483
188	811	3480
189	816	3479
190	820	3476
191	825	3473
192	830	3471
193	834	3468
194	839	3465
195	844	3462
196	848	3458
197	853	3456
198	858	3454
199	862	3451
200	867	3448
201	872	3446
202	877	3445
203	882	3442
204	886	3439
205	891	3435
206	896	3433
207	900	3429
208	905	3426
209	909	3423
210	914	3419
211	919	3416
212	923	3413
213	928	3410
214	934	3411
215	939	3408
216	943	3405
217	948	3401
218	953	3400
219	958	3398
220	963	3395
221	968	3392
222	972	3389
223	977	3385
224	982	3382
225	986	3379
226	991	3376
227	996	3372
228	1000	3369
229	1005	3366
230	1010	3363
231	1015	3360
232	1019	3357
233	1024	3352
234	1028	3349
235	1033	3345
236	1037	3341
237	1042	3338
238	1047	3334
239	1051	3330
240	1056	3326
241	1061	3323
242	1065	3319
243	1070	3315
244	1074	3312
245	1079	3308
246	1084	3306
247	1088	3301
248	1093	3299
249	1098	3294
250	1103	3291
251	1108	3289
252	1112	3285
253	1117	3282
254	1122	3278
255	1126	3274
256	1131	3271
257	1136	3268
258	1141	3264
259	1145	3261
260	1150	3258
261	1155	3255
262	1160	3251
263	1165	3247
264	1169	3244
265	1174	3240
266	1179	3236
267	1183	3233
268	1188	3229
269	1192	3225
270	1197	3221
271	1205	3227
272	1210	3224
273	1215	3221
274	1220	3218
275	1225	3214
276	1230	3211
277	1235	3207
278	1239	3204
279	1245	3202
280	1250	3198
281	1254	3194
282	1259	3190
283	1264	3186
284	1268	3182
285	1273	3178
286	1278	3175
287	1282	3170
288	1287	3167
289	1292	3163
290	1296	3159
291	1301	3154
292	1305	3151
293	1310	3146
294	1314	3142
295	1319	3138
296	1324	3134
297	1328	3130
298	1333	3126
299	1338	3122
300	1342	3117
301	1347	3113
302	1351	3109
303	1356	3105
304	1360	3100
305	1365	3096
306	1370	3093
307	1374	3088
308	1379	3083
309	1383	3079
310	1388	3076
311	1393	3072
312	1397	3068
313	1403	3065
314	1407	3061
315	1412	3056
316	1416	3052
317	1421	3048
318	1425	3043
319	1430	3039
320	1435	3035
321	1439	3031
322	1444	3027
323	1449	3023
324	1453	3019
325	1458	3015
326	1462	3010
327	1467	3006
328	1472	3002
329	1476	2998
330	1481	2994
331	1486	2990
332	1490	2986
333	1495	2982
334	1500	2978
